# star name [Fe/H]  [Mg/Fe]  [Eu/Fe]
CS29497m030  0 -2.52 0 +0.44 0 +1.70
CS29499m003  0 -2.43 0 +0.36 0 +0.63
CS29499m058  0 -2.71 0 +0.42 0 +0.44
CS29512m073  0 -2.02 0 +0.13 0 +0.36
CS29513m003  0 -2.46 0 +0.49 0 +0.49
CS29513m014  0 -2.32 0 +0.48 0 +0.24
CS29513m032  0 -1.88 0 +0.43 0 +0.55
CS29514m017  0 -2.34 0 +0.36 0 +0.08
CS29529m054  0 -2.65 0 +0.37 0 +0.90
CS30312m044  0 -3.21 0 +0.51 0 +0.28
CS30312m059  0 -3.33 0 +0.67 0 +0.26
CS30312m100  0 -2.69 0 +0.34 0 -0.19
CS30314m067  0 -3.16 0 +0.69 0 -0.62
CS30339m052  0 -2.68 0 +0.49 0 +0.55
CS30492m110  0 -3.21 0 +0.49 0 +0.16
CS30494m003  0 -2.97 0 +0.44 0 +0.02
CS31082m001  0 -3.06 0 +0.72 0 +1.37
BDm206008    0 -3.02 0 +0.48 0 -0.06
BDm185550    0 -3.17 0 +0.48 0 -0.46
BDm155781    0 -2.90 0 +0.49 0 +0.07
BDm012582    0 -2.63 0 +0.64 0 +0.38
BDp102495    0 -2.15 0 +0.37 0 +0.28
BDp191185A   0 -1.25 0 +0.29 0 +0.38
BDp292356    0 -1.68 0 +0.41 0 +0.37
CDm361052    0 -1.87 0 +0.38 0 +0.38
CDm241782    0 -3.04 0 +0.51 0 -0.24
G009m027     0 -1.80 0 +0.42 0 +0.28
G015m010     0 -2.54 0 +0.40 0 +0.33
G026m001     0 -2.01 0 +0.42 0 +0.25
G071m055     0 -1.94 0 +0.39 0 +0.27
G088m023     0 -1.94 0 +0.42 0 +0.59
G090m003     0 -2.32 0 +0.40 0 -0.05
G090m025     0 -2.04 0 +0.36 0 +0.07
G126m062     0 -1.75 0 +0.44 0 +0.35
G146m076     0 -2.10 0 +0.41 0 +0.18
G153m064     0 -1.08 0 +0.37 0 +0.20
G161m073     0 -1.25 0 +0.23 0 +0.03
G170m047     0 -2.92 0 +0.44 0 -0.10
G188m022     0 -1.47 0 +0.41 0 +0.12
G190m010     0 -1.94 0 +0.35 0 +0.15
G201m044     0 -1.67 0 +0.32 0 +0.24
G214m001     0 -2.29 0 +0.42 0 +0.56
G234m028     0 -1.79 0 +0.32 0 +0.36
G238m032     0 -1.58 0 +0.26 0 +0.47
HD6268       0 -2.75 0 +0.51 0 +0.31
HD11582      0 -1.94 0 +0.45 0 +0.43
HD13979      0 -2.85 0 +0.48 0 -0.29
HD16031      0 -1.96 0 +0.43 0 -0.01
HD19445      0 -2.34 0 +0.45 0 +0.09
HD21581      0 -1.76 0 +0.43 0 +0.33
