#
# NOTES:
# Roederer 14 have some new abundances I haven't included
#
#Ref  Star  [Fe/H]  [Mg/Fe]  [Eu/Fe]
9 HD001835   0.13    0.00    0.06
9 HD003651   0.15    -0.02    -0.08
9 HD004307   -0.18    0.06    0.12
9 HD004614   -0.24    0.10    0.08
9 HD005294   -0.17    0.08    0.01
9 HD006660   0.08    -0.02    -0.03
9 HD007590   -0.10    0.06    0.07
9 HD007924   -0.22    0.18    0.04
9 HD008648   0.12    0.00    -0.13
9 HD009407   0.05    0.01    -0.03
9 HD010086   0.13    -0.02    -0.08
9 HD010307   0.02    0.06    0.12
9 HD010476   -0.05    0.03    -0.06
9 HD010780   0.04    0.04    0.05
9 HD011007   -0.20    0.10    0.19
9 HD011373   0.08    -0.13    -0.01
9 HD012846   -0.24    0.14    0.16
9 HD013507   -0.02    -0.05    0.16
9 HD014374   -0.09    0.07    0.13
9 HD016160   -0.16    0.12    0.28
9 HD017674   -0.14    0.11    -0.02
9 HD017925   -0.04    0.04    0.08
9 HD018632   0.06    0.01    -0.04
9 HD018803   0.14    -0.04    -0.02
9 HD019373   0.06    -0.03    0.03
9 HD022049   -0.15    0.03    0.24
9 HD022484   -0.03    0.02    0.02
9 HD022556   -0.17    0.07    0.21
9 HD024053   0.04    -0.01    0.10
9 HD024238   -0.46    0.26    0.18
9 HD024496   -0.13    0.14    0.10
9 HD025665   0.01    -0.08    0.06
9 HD025680   0.05    -0.07    0.02
9 HD026923   -0.03    0.11    0.00
9 HD028005   0.23    0.15    -0.13
9 HD028447   -0.09    0.07    0.13
9 HD029150   0.00    0.09    0.04
9 HD029645   0.14    0.03    -0.10
9 HD030495   -0.05    0.06    0.07
9 HD033632   -0.24    0.12    0.18
9 HD034411   0.10    -0.01    -0.01
9 HD037008   -0.41    0.16    0.28
9 HD037394   0.09    -0.04    -0.02
9 HD038858   -0.23    0.11    0.15
9 HD039587   -0.03    0.07    -0.03
9 HD040616   -0.22    0.05    -0.04
9 HD041330   -0.18    0.04    0.22
9 HD041593   -0.04    -0.08    -0.07
9 HD042618   -0.07    0.07    0.09
9 HD042807   -0.03    0.03    0.05
9 HD043587   -0.11    0.08    0.15
9 HD043856   -0.19    0.07    0.18
9 HD043947   -0.24    0.12    0.20
9 HD045088   -0.21    0.14    0.13
9 HD047752   -0.05    -0.09    0.10
9 HD048682   0.05    0.03    -0.08
9 HD050692   -0.10    0.07    0.22
9 HD051419   -0.37    0.15    0.26
9 HD051866   0.00    0.08    0.02
9 HD053927   -0.22    -0.02    0.19
9 HD054371   0.06    0.07    0.03
9 HD055575   -0.31    0.21    0.20
9 HD058595   -0.31    0.07    0.20
9 HD059747   -0.04    0.05    0.02
9 HD061606   -0.12    -0.10    0.13
9 HD062613   -0.10    0.07    -0.06
9 HD063433   -0.06    0.02    0.03
9 HD064815   -0.33    0.31    0.32
9 HD065874   0.05    0.09    -0.11
9 HD066573   -0.53    0.23    0.32
9 HD068638   -0.24    0.05    0.08
9 HD070923   0.06    0.07    -0.12
9 HD071148   0.00    0.03    -0.06
9 HD072760   0.01    0.02    0.05
9 HD072905   -0.07    0.09    0.01
9 HD073344   0.08    0.08    -0.04
9 HD073667   -0.58    0.26    0.30
9 HD075732   0.25    0.12    -0.11
9 HD076151   0.05    0.06    -0.06
9 HD079969   -0.05    0.01    0.07
9 HD082106   -0.11    -0.03    -0.05
9 HD082443   -0.03    -0.02    0.12
9 HD087883   0.00    0.03    0.02
9 HD088072   0.00    -0.05    0.15
9 HD089251   -0.12    0.05    0.16
9 HD089269   -0.23    0.13    0.20
9 HD091347   -0.43    0.14    0.22
9 HD095128   0.01    0.07    0.00
9 HD097334   0.06    -0.01    -0.01
9 HD097658   -0.32    0.08    0.19
9 HD098630   0.22    0.09    -0.10
9 HD101177   -0.16    0.06    0.15
9 HD102870   0.13    0.08    -0.09
9 HD105631   0.16    -0.06    -0.04
9 HD107705   0.06    -0.10    -0.05
9 HD108954   -0.12    0.09    0.06
9 HD109358   -0.18    0.09    0.04
9 HD110463   -0.05    0.03    0.09
9 HD111395   0.10    -0.01    0.02
9 HD114710   0.07    -0.07    -0.03
