# star name [Fe/H] [Mg/Fe] [Eu/Fe]
G004m037     0 -2.70 0 +0.45 -1 +0.81
G010m054     0 -2.29 0 +0.23 -1 +1.26
G016m025     0 -2.08 0 +0.17 -1 +0.40
G025m022     0 -2.33 0 +0.37 -1 +0.69
G025m024     0 -2.19 0 +0.30 -1 +0.70
G064m012     0 -3.49 0 +0.50 -1 +1.45
G075m056     0 -2.33 0 +0.41 -1 +0.85
G107m050     0 -1.98 0 +0.48 -1 +0.56
G115m049     0 -2.60 0 +0.57 -1 +0.78
G122m069     0 -2.64 0 +0.38 -1 +1.11
G137m086     0 -1.83 0 +0.30 -1 +0.32
G146m056     0 -1.58 0 +0.30 -1 +0.54
G166m047     0 -2.37 0 +0.43 -1 +0.96
G180m058     0 -2.61 0 +0.32 -1 +0.67
G186m026     0 -2.98 0 +0.32 -1 +1.12
G188m030     0 -2.06 0 +0.28 -1 +0.18
G190m015     0 -3.12 0 +0.40 -1 +0.47
G199m066     0 -2.24 0 +0.35 -1 +0.82
G206m034     0 -3.15 0 +0.43 -1 +1.08
G238m030     0 -3.39 0 +0.58 -1 +1.95
HD200654     0 -3.09 0 +0.48 -1 +0.01
HE0454m4758  0 -3.35 0 +0.50 -1 +0.40
HE0938p0114  0 -3.00 0 +0.43 -1 +1.07
HE1012m1540  0 -3.96 0 +1.34 -1 +1.19
HE1124m2335  0 -3.31 0 +0.47 -1 +0.03
